직렬,"선발
예정인원",출원인원,응시인원,합격선,"필기
합격인원","최종
합격인원","여성
합격인원","여성비율
(%)"
전체,770,"36,662","25,973",-,"1,016",824,324,39.30%
행정직,566,"31,558","22,549",-,748,597,265,44.40%
행정(일반행정 전국:일반),159,"14,106","9,859","80.00
(지방:79.16)",236,174,88,50.60%
행정(일반행정 전국:장애인),10,185,127,"63.33
(양성:61.66)",14,11,1,9.10%
행정(우정사업본부 전국:일반),20,753,519,76.66,24,21,7,33.30%
행정(우정사업본부 전국:장애인),1,11,5,전원과락,0,0,0,-
행정(고용노동 전국:일반),117,876,610,"69.66
(지방:68.33)",146,122,46,37.70%
행정(고용노동 전국:장애인),8,33,23,49.16,5,5,0,-
행정(인사조직),4,"1,457",965,80,5,4,3,75.00%
행정(교육행정 전국:일반),3,713,439,81.66,4,3,3,100.00%
행정(회계),6,179,113,75,8,6,1,16.70%
행정(선거행정:일반),19,"1,599","1,068",82.5,25,19,8,42.10%
행정(선거행정:장애인),1,31,20,65.83,2,1,0,-
세무(세무:일반),68,"3,587","2,744","78.33
(지방:77.50)",93,71,31,43.70%
세무(세무:장애인),5,77,54,55.83,5,5,0,-
관세(관세:일반),17,886,682,83.33,23,18,11,61.10%
관세(관세:장애인),1,26,15,65.83,2,1,0,-
통계(통계:일반),7,268,211,83,9,7,3,42.90%
통계(통계:장애인),1,2,2,67.16,1,1,1,100.00%
감사(감사:일반),13,947,724,"84.16
(양성:83.33)",15,13,4,30.80%
감사(감사:장애인),1,22,16,75,2,1,0,-
교정(교정),30,"1,047",739,"77.50
(지방:76.66)",36,32,10,31.30%
보호(보호),5,95,62,76.66,6,5,2,40.00%
검찰(검찰),10,"1,355",863,83.33,14,13,4,30.80%
출입국관리(출입국관리),20,902,656,77.5,25,21,11,52.40%
외무영사(외무영사:일반),37,"2,372","2,012","85.83
(양성:85.00)",44,40,29,72.50%
외무영사(외무영사:장애인),3,29,21,71.66,4,3,2,66.70%
기술직,204,"5,104","3,424",-,268,227,59,26.00%
공업(일반기계:일반),32,672,462,"75.00
(지방:74.16)
(양성:72.50)",42,38,3,7.90%
공업(일반기계:장애인),2,9,6,70.83,2,2,0,-
공업(전기:일반),31,666,411,"75.00
(지방:74.16)
(양성:72.50)",43,38,3,7.90%
공업(전기:장애인),2,10,5,50,2,2,0,-
공업(화공:일반),24,586,426,72.5,30,25,15,60.00%
공업(화공:장애인),2,5,5,68.33,1,1,1,100.00%
농업(일반농업:일반),7,479,316,84.16,9,7,4,57.10%
농업(일반농업:장애인),1,5,4,77.5,2,1,0,-
임업(산림자원:일반),6,248,171,79.16,7,7,2,28.60%
임업(산림자원:장애인),1,1,1,62.5,1,1,0,-
시설(일반토목:일반),32,484,340,"70.83
(양성:68.33)",43,39,8,20.50%
시설(일반토목:장애인),2,10,6,57.5,1,1,0,-
시설(건축:일반),16,495,306,"76.66
(지방:75.83)",20,17,6,35.30%
시설(건축:장애인),1,6,4,61.66,2,1,0,-
방재안전(방재안전:일반),5,253,140,75.83,6,5,2,40.00%
전산(전산개발:일반),29,929,659,"74.16
(지방:73.33)",42,31,12,38.70%
전산(전산개발:장애인),2,11,7,47.5,2,2,1,50.00%
방송통신(전송기술:일반),8,232,153,75,12,8,2,25.00%
방송통신(전송기술:장애인),1,3,2,71.66,1,1,0,-
