Region,Country/Area,Year,Series,Value,Source,Continent,Hofstede_pdi,Hofstede_idv,Hofstede_mas,Hofstede_uai,Hofstede_mean
29,Caribbean,2015,GDP real rates of growth (percent),2.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
29,Caribbean,2016,GDP real rates of growth (percent),0.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
29,Caribbean,2017,GDP real rates of growth (percent),0.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
4,Afghanistan,2015,GDP real rates of growth (percent),-1.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
4,Afghanistan,2016,GDP real rates of growth (percent),3.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
4,Afghanistan,2017,GDP real rates of growth (percent),2.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
8,Albania,2015,GDP real rates of growth (percent),2.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
8,Albania,2016,GDP real rates of growth (percent),3.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
8,Albania,2017,GDP real rates of growth (percent),3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
12,Algeria,2015,GDP real rates of growth (percent),3.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
12,Algeria,2016,GDP real rates of growth (percent),3.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
12,Algeria,2017,GDP real rates of growth (percent),1.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
20,Andorra,2015,GDP real rates of growth (percent),0.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
20,Andorra,2016,GDP real rates of growth (percent),1.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
20,Andorra,2017,GDP real rates of growth (percent),1.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
24,Angola,2015,GDP real rates of growth (percent),0.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
24,Angola,2016,GDP real rates of growth (percent),-2.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
24,Angola,2017,GDP real rates of growth (percent),-2.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
660,Anguilla,2015,GDP real rates of growth (percent),3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
660,Anguilla,2016,GDP real rates of growth (percent),-1.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
660,Anguilla,2017,GDP real rates of growth (percent),-7.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
28,Antigua and Barbuda,2015,GDP real rates of growth (percent),4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
28,Antigua and Barbuda,2016,GDP real rates of growth (percent),5.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
28,Antigua and Barbuda,2017,GDP real rates of growth (percent),3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
32,Argentina,2015,GDP real rates of growth (percent),2.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,49,46,56,86,59.25
32,Argentina,2016,GDP real rates of growth (percent),-1.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,49,46,56,86,59.25
32,Argentina,2017,GDP real rates of growth (percent),2.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,49,46,56,86,59.25
51,Armenia,2015,GDP real rates of growth (percent),3.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
51,Armenia,2016,GDP real rates of growth (percent),0.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
51,Armenia,2017,GDP real rates of growth (percent),7.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
533,Aruba,2015,GDP real rates of growth (percent),-0.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
533,Aruba,2016,GDP real rates of growth (percent),-0.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
533,Aruba,2017,GDP real rates of growth (percent),1.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
40,Austria,2015,GDP real rates of growth (percent),1.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,11,55,79,70,53.75
40,Austria,2016,GDP real rates of growth (percent),2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,11,55,79,70,53.75
40,Austria,2017,GDP real rates of growth (percent),2.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,11,55,79,70,53.75
31,Azerbaijan,2015,GDP real rates of growth (percent),1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
31,Azerbaijan,2016,GDP real rates of growth (percent),-3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
31,Azerbaijan,2017,GDP real rates of growth (percent),0.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
44,Bahamas,2015,GDP real rates of growth (percent),-3.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
44,Bahamas,2016,GDP real rates of growth (percent),0.2,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
44,Bahamas,2017,GDP real rates of growth (percent),1.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
48,Bahrain,2015,GDP real rates of growth (percent),2.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
48,Bahrain,2016,GDP real rates of growth (percent),3.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
48,Bahrain,2017,GDP real rates of growth (percent),3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
50,Bangladesh,2015,GDP real rates of growth (percent),6.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,80,20,55,60,53.75
50,Bangladesh,2016,GDP real rates of growth (percent),7.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,80,20,55,60,53.75
50,Bangladesh,2017,GDP real rates of growth (percent),7.3,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,80,20,55,60,53.75
52,Barbados,2015,GDP real rates of growth (percent),0.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
52,Barbados,2016,GDP real rates of growth (percent),1.6,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
52,Barbados,2017,GDP real rates of growth (percent),0.9,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
112,Belarus,2015,GDP real rates of growth (percent),-3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
112,Belarus,2016,GDP real rates of growth (percent),-2.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
112,Belarus,2017,GDP real rates of growth (percent),2.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,,,,,
56,Belgium,2015,GDP real rates of growth (percent),1.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,65,75,54,94,72
56,Belgium,2016,GDP real rates of growth (percent),1.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,65,75,54,94,72
56,Belgium,2017,GDP real rates of growth (percent),1.7,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Europe,65,75,54,94,72
84,Belize,2015,GDP real rates of growth (percent),3.8,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
84,Belize,2016,GDP real rates of growth (percent),-0.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
84,Belize,2017,GDP real rates of growth (percent),0.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",America,,,,,
204,Benin,2015,GDP real rates of growth (percent),6.5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
204,Benin,2016,GDP real rates of growth (percent),5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
204,Benin,2017,GDP real rates of growth (percent),5,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Africa,,,,,
60,Bermuda,2015,GDP real rates of growth (percent),0.4,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
60,Bermuda,2016,GDP real rates of growth (percent),-0.1,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.",Asia,,,,,
