,position,Woman,Man,,,,
1,전체,324,500,,,,
2,행정직,265,332,,,,
,,,,,,여,남
3,행정(일반행정 전국:일반),88,86,,행정,157,209
4,행정(일반행정 전국:장애인),1,10,,세무,31,45
5,행정(우정사업본부 전국:일반),7,14,,관세,11,8
6,행정(우정사업본부 전국:장애인),0,0,,통계,4,4
7,행정(고용노동 전국:일반),46,76,,감사,4,10
8,행정(고용노동 전국:장애인),0,5,,교정,10,22
9,행정(인사조직),3,1,,보호,2,3
10,행정(교육행정 전국:일반),3,0,,검찰,4,9
11,행정(회계),1,5,,출입국관리,11,10
12,행정(선거행정:일반),8,11,,외무영사,31,12
13,행정(선거행정:장애인),0,1,,기술직,59,168
,,157,209,,공업,22,84
14,세무(세무:일반),31,40,,농업,4,4
15,세무(세무:장애인),0,5,,임업,2,6
,,31,45,,시설,14,44
16,관세(관세:일반),11,7,,방재안전,2,3
17,관세(관세:장애인),0,1,,전산,13,20
,,11,8,,방송통신,2,7
18,통계(통계:일반),3,4,,,,
19,통계(통계:장애인),1,0,,,,
,,4,4,,,,
20,감사(감사:일반),4,9,,,,
21,감사(감사:장애인),0,1,,,,
,,4,10,,,,
22,교정(교정),10,22,,,,
,,,,,,,
23,보호(보호),2,3,,,,
,,,,,,,
24,검찰(검찰),4,9,,,,
25,출입국관리(출입국관리),11,10,,,,
,,,,,,,
26,외무영사(외무영사:일반),29,11,,,,
27,외무영사(외무영사:장애인),2,1,,,,
,,31,12,,,,
28,기술직,59,168,,,,
,,,,,,,
29,공업(일반기계:일반),3,35,,,,
30,공업(일반기계:장애인),0,2,,,,
31,공업(전기:일반),3,35,,,,
32,공업(전기:장애인),0,2,,,,
33,공업(화공:일반),15,10,,,,
34,공업(화공:장애인),1,0,,,,
,,22,84,,,,
35,농업(일반농업:일반),4,3,,,,
36,농업(일반농업:장애인),0,1,,,,
,,4,4,,,,
37,임업(산림자원:일반),2,5,,,,
38,임업(산림자원:장애인),0,1,,,,
,,2,6,,,,
39,시설(일반토목:일반),8,31,,,,
40,시설(일반토목:장애인),0,1,,,,
41,시설(건축:일반),6,11,,,,
42,시설(건축:장애인),0,1,,,,
,,14,44,,,,
43,방재안전(방재안전:일반),2,3,,,,
,,,,,,,
44,전산(전산개발:일반),12,19,,,,
45,전산(전산개발:장애인),1,1,,,,
,,13,20,,,,
46,방송통신(전송기술:일반),2,6,,,,
47,방송통신(전송기술:장애인),0,1,,,,
,,2,7,,,,
